hospital_name,last_updated_on,version,location_name,hospital_address,license_number|CA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,general_contract_provisions,,,,,,,,,,,,,,
West Mercy Hospital,4/1/2026,3.0.0,West Mercy Hospital|West Mercy Surgical Center,"12 Main Street, Fullerton, CA  92832|23 Ocean Ave, San Jose, CA 94088",50056,0000000001 | 0000000002 | 0000000003,TRUE,Leigh Attester,"When total claim charges exceed $200,000.00 for a Platform Health Insurance plan, the entire claim will be reimbursed at 50% of charges. This amount will supersede any other contracted rate that would otherwise apply. When total claim charges exceed $250,000.00 for a Region Health Insurance plan, the entire claim will be reimbursed at 45% of charges. This amount will supersede any other contracted rate that would otherwise apply.",,,,,,,,,,,,,,
description,code | 1,code | 1 | type,code | 2,code | 2 | type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge | gross,standard_charge | discounted_cash,payer_name,plan_name,modifiers,standard_charge | negotiated_dollar,standard_charge | negotiated_percentage,standard_charge | negotiated_algorithm,median_amount,10th_percentile,90th_percentile,count,standard_charge | min,standard_charge | max,standard_charge | methodology,additional_generic_notes
MRI of brain (no contrast),611,RC,70551,CPT,outpatient,,,1200,1080,Platform Health Insurance,PPO,,400,,,,,,,250,400,fee schedule,
MRI of brain (no contrast),611,RC,70551,CPT,outpatient,,,1200,1080,Region Health Insurance,HMO,,250,,,,,,,250,400,fee schedule,
Inguinal hernia repair,360,RC,49505,CPT,outpatient,,,,,Platform Health Insurance,PPO,,8000,,,,,,,360,8000,case rate,
Inguinal hernia repair,360,RC,49505,CPT,outpatient,,,,,Region Health Insurance,HMO,,360,,,,,,,360,8000,fee schedule, This service paid at 140% of the OPPS APC rate.
Major hip and knee joint replacement or reattachment of lower extremity without mcc,470,MS-DRG,,,inpatient,,,,,Platform Health Insurance,PPO,,49000,,,,,,,14000,49000,case rate, This inpatient MS-DRG is paid at 200% of the Medicare IPPS Federal Operating and Capital Federal specific portion.
Major hip and knee joint replacement or reattachment of lower extremity without mcc,470,MS-DRG,,,inpatient,,,,,Region Health Insurance,HMO,,14000,,,,,,,14000,49000,case rate,
Medical surgical bed,120,RC,,,inpatient,,,5000,4500,Platform Health Insurance,PPO,,4500,,,,,,,1400,4500,fee schedule, This service paid at 90% of the gross charge.
Medical surgical bed,120,RC,,,inpatient,,,5000,4500,Region Health Insurance,HMO,,1400,,,,,,,1400,4500,per diem,
