hospital_name,last_updated_on,version,location_name,hospital_address,license_number|CA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,general_contract_provisions,,,,,,,,,,,,,,,,,,,,,,
West Mercy Hospital,11/14/2025,3.0.0,West Mercy Hospital|West Mercy Surgical Center,"12 Main Street, Fullerton, CA  92832|23 Ocean Ave, San Jose, CA 94088",50056,0000000001 | 0000000002 | 0000000003  ,TRUE,Leigh Attester,"When total claim charges exceed $200,000.00 for a Platform Health Insurance plan, the entire claim will be reimbursed at 50% of charges. This amount will supersede any other contracted rate that would otherwise apply. When total claim charges exceed $250,000.00 for a Region Health Insurance plan, the entire claim will be reimbursed at 45% of charges. This amount will supersede any other contracted rate that would otherwise apply.",,,,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,standard_charge|Platform_Health_Insurance|PPO|negotiated_dollar,standard_charge|Platform_Health_Insurance|PPO|negotiated_percentage,standard_charge|Platform_Health_Insurance|PPO|negotiated_algorithm,median_amount|Platform_Health_Insurance|PPO,10th_percentile|Platform_Health_Insurance|PPO,90th_percentile|Platform_Health_Insurance|PPO,count|Platform_Health_Insurance|PPO,standard_charge|Platform_Health_Insurance|PPO|methodology,additional_payer_notes|Platform_Health_Insurance|PPO,standard_charge|Region_Health_Insurance|HMO|negotiated_dollar,standard_charge|Region_Health_Insurance|HMO|negotiated_percentage,standard_charge|Region_Health_Insurance|HMO|negotiated_algorithm,median_amount|Region_Health_Insurance|HMO,10th_percentile|Region_Health_Insurance|HMO,90th_percentile|Region_Health_Insurance|HMO,count|Region_Health_Insurance|HMO,standard_charge|Region_Health_Insurance|HMO|methodology,additional_payer_notes|Region_Health_Insurance|HMO,standard_charge|min,standard_charge|max,additional_generic_notes
Major hip and knee joint replacement or reattachment of lower extremity without mcc,470,MS-DRG,175869,LOCAL,,inpatient,,,,,,50,,21345.12,18765.9,39627.88,23,percent of total billed charges,,25678,,"If days in visit is less than or equal to 3, then the standard charge is $25,678.00. Otherwise, the standard charge is $25,678.00 plus 80% of billed charges on the days exceeding 3 days.",25678,25678,45964,43,other,The standard charge methodology is a case rate plus additional modifications.,25678,25678,
Heart transplant or implant of heart assist system without mcc,2,MS-DRG,123478,LOCAL,,inpatient,,,,,,45,,,,,0,percent of total billed charges,No services performed during 15-month lookback period.,,40,"40% of billed charges up to billed charges of $1 million, then 50% of billed charges for billed charges in excess of $1 million.",560043.22,256789.17,945001.98,1 through 10,percent of total billed charges,,,,
"Evaluation of hearing function to determine candidacy for, or postoperative status of, surgically implanted hearing device; first hour",92626,CPT,,,,outpatient,,,150,125,98.98,,,,,,,fee schedule,110% of the Medicare fee schedule,105.34,,,,,,,fee schedule,115% of the state's workers' compensation amount,98.98,105.34,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem",H0017,HCPCS,,,,inpatient,,,2500,2250,1500,,,,,,,per diem,,,,,,,,,,,1500,1500,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem, days 1-3",H0017,HCPCS,,,,inpatient,,,2500,2250,,,,,,,,,,2000,,,,,,,per diem,,2000,2000,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem, days 4-5",H0017,HCPCS,,,,inpatient,,,2500,2250,,,,,,,,,,1800,,,,,,,per diem,,1800,1800,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem, days 6+",H0017,HCPCS,,,,inpatient,,,2500,2250,,,,,,,,,,1200,,,,,,,per diem,,1200,1200,
Treatment or observation room - observation room,762,RC,,,,outpatient,,,13000,12000,8000,,,,,,,case rate,Negotiated standard charge without surgery and without rule out myocardial infarction,9000,,,,,,,case rate,,8000,10000,
